video_id,duration_min,time_since_upload_days,upload_year,upload_month,upload_dow,upload_hour,tags_count,desc_length,has_links_in_desc,views_per_day,target_views,target_views_log,target_views_per_day,target_views_per_day_log,target_engagement,title__nan,title__nan nan
MrFDnGvjrhU,,,,,,,0,0,0,,2049.0,7.6255950721324535,,,0.0,3,2
RMAvgjdME7I,,,,,,,0,0,0,,908.0,6.812345094177479,,,0.0,3,2
SoFMTomzjik,,,,,,,0,0,0,,1228.0,7.113956109566034,,,0.0,3,2
Zez_k0c5yzc,,,,,,,0,0,0,,887.0,6.78897174299217,,,0.0,3,2
7X5iDKPrZH0,,,,,,,0,0,0,,6948585.0,15.754048743604148,,,0.0,3,2
b7QlX3yR2xs,,,,,,,0,0,0,,98255875.0,18.403085613541077,,,0.0,3,2
-AlKKUtElzA,,,,,,,0,0,0,,3432479.0,15.048793589950332,,,0.0,3,2
g7gTJZ-RQfI,,,,,,,0,0,0,,749646.0,13.527357708047504,,,0.0,3,2
-5vcP3EN2Iw,,,,,,,0,0,0,,,,,,,3,2
ydzJjJXvVao,,,,,,,0,0,0,,,,,,,3,2
Oh0mvwyghwE,,,,,,,0,0,0,,,,,,,3,2
2FbOIH1-1lI,,,,,,,0,0,0,,,,,,,3,2
Rj5qb_Q34IM,,,,,,,0,0,0,,,,,,,3,2
AwBx_-BlQdo,,,,,,,0,0,0,,,,,,,3,2
uDA1H-Ahank,,,,,,,0,0,0,,,,,,,3,2
wATq5-DvTP8,,,,,,,0,0,0,,,,,,,3,2
eQxw9nwdZOM,,,,,,,0,0,0,,,,,,,3,2
f1lTge9A-AY,,,,,,,0,0,0,,,,,,,3,2
vckWt2Yidg4,,,,,,,0,0,0,,,,,,,3,2
0T40AF6DjHY,,,,,,,0,0,0,,,,,,,3,2
m2AFlVa2Gqk,,,,,,,0,0,0,,,,,,,3,2
3PJC6uPIekc,,,,,,,0,0,0,,,,,,,3,2
GR3Liudev18,,,,,,,0,0,0,,,,,,,3,2
Wd7S1wZqkbI,,,,,,,0,0,0,,,,,,,3,2
xGaZBfJOyAc,,,,,,,0,0,0,,,,,,,3,2
9qDW_ZKpvxI,,,,,,,0,0,0,,,,,,,3,2
V9vuCByb6js,,,,,,,0,0,0,,,,,,,3,2
tHZbiESo1h8,,,,,,,0,0,0,,,,,,,3,2
V9PVRfjEBTI,,,,,,,0,0,0,,,,,,,3,2
I6wCuvvaRPI,,,,,,,0,0,0,,,,,,,3,2
picoMRP7Poc,,,,,,,0,0,0,,,,,,,3,2
SdSSPF1S-Uc,,,,,,,0,0,0,,,,,,,3,2
GXODnqWPzH8,,,,,,,0,0,0,,,,,,,3,2
ZzYBzwfjjDE,,,,,,,0,0,0,,,,,,,3,2
bs73555UZdM,,,,,,,0,0,0,,,,,,,3,2
nPIk_OzveVs,,,,,,,0,0,0,,,,,,,3,2
aA5HQsLZCyk,,,,,,,0,0,0,,,,,,,3,2
8o11UZisuGA,,,,,,,0,0,0,,,,,,,3,2
7ygYe6Q3a20,,,,,,,0,0,0,,,,,,,3,2
dPxo4fkRPYo,,,,,,,0,0,0,,,,,,,3,2
dBKRYVN81Es,,,,,,,0,0,0,,,,,,,3,2
80B02NHgeFo,,,,,,,0,0,0,,,,,,,3,2
EbX1a_-NVIM,,,,,,,0,0,0,,,,,,,3,2
onhWD48mIj0,,,,,,,0,0,0,,,,,,,3,2
sHYUF6DqGwM,,,,,,,0,0,0,,,,,,,3,2
9qC2VEggIjc,,,,,,,0,0,0,,,,,,,3,2
8kGAg79REoU,,,,,,,0,0,0,,,,,,,3,2
cyouk7xvuHc,,,,,,,0,0,0,,,,,,,3,2
qR203Wh5F2A,,,,,,,0,0,0,,,,,,,3,2
6XAvHy9RLYE,,,,,,,0,0,0,,,,,,,3,2
jssz0ggAcB8,,,,,,,0,0,0,,,,,,,3,2
I4aY0o8wBAU,,,,,,,0,0,0,,,,,,,3,2
SKsQY8GkqAs,,,,,,,0,0,0,,,,,,,3,2
mboaOA1BG6g,,,,,,,0,0,0,,,,,,,3,2
H1hkl2aiMmk,,,,,,,0,0,0,,,,,,,3,2
b6avA4mHhCo,,,,,,,0,0,0,,,,,,,3,2
UnpOtATq--g,,,,,,,0,0,0,,,,,,,3,2
-d8JtMwxHJs,,,,,,,0,0,0,,,,,,,3,2
yjsmbNNsTrI,,,,,,,0,0,0,,,,,,,3,2
b893Gq3MvGU,,,,,,,0,0,0,,,,,,,3,2
CLLpSmaof4E,,,,,,,0,0,0,,,,,,,3,2
cW8VLC9nnTo,,,,,,,0,0,0,,,,,,,3,2
u2ah9tWTkmk,,,,,,,0,0,0,,,,,,,3,2
bVCzVVDAnvw,,,,,,,0,0,0,,,,,,,3,2
GrDHGcM3orw,,,,,,,0,0,0,,,,,,,3,2
FPyqVCoCDQk,,,,,,,0,0,0,,,,,,,3,2
ZGi3RFqipS4,,,,,,,0,0,0,,,,,,,3,2
KnWdP6Am-D0,,,,,,,0,0,0,,,,,,,3,2
ZOvxObCrhMQ,,,,,,,0,0,0,,,,,,,3,2
0kXdYDeOc4U,,,,,,,0,0,0,,,,,,,3,2
5b0FEvxAa9c,,,,,,,0,0,0,,,,,,,3,2
fJYS4gmcWog,,,,,,,0,0,0,,,,,,,3,2
nWz1_tURAvY,,,,,,,0,0,0,,,,,,,3,2
nS75KVTt4Wc,,,,,,,0,0,0,,,,,,,3,2
clp0rgGDGQA,,,,,,,0,0,0,,,,,,,3,2
bF4B0m-EPrs,,,,,,,0,0,0,,,,,,,3,2
DN687AXZdSs,,,,,,,0,0,0,,,,,,,3,2
e2BbRp0YBMA,,,,,,,0,0,0,,,,,,,3,2
68o_tcKnTSM,,,,,,,0,0,0,,,,,,,3,2
locvWmtZ6pg,,,,,,,0,0,0,,,,,,,3,2
sRhvQb-L8Tg,,,,,,,0,0,0,,,,,,,3,2
nppkwQV_JCQ,,,,,,,0,0,0,,,,,,,3,2
qCmpU3ssip8,,,,,,,0,0,0,,,,,,,3,2
z9PusX5ugbI,,,,,,,0,0,0,,,,,,,3,2
GAOQMCnIm84,,,,,,,0,0,0,,,,,,,3,2
KjqtDep5mT0,,,,,,,0,0,0,,,,,,,3,2
yf0O4WZVJqQ,,,,,,,0,0,0,,,,,,,3,2
dj-ESRYp4qU,,,,,,,0,0,0,,,,,,,3,2
2OGX3w44mqg,,,,,,,0,0,0,,,,,,,3,2
IlnuqIDED2s,,,,,,,0,0,0,,,,,,,3,2
2AoW0P9fSXM,,,,,,,0,0,0,,,,,,,3,2
oDSEGkT6J-0,,,,,,,0,0,0,,,,,,,3,2
HUfioe7v2KA,,,,,,,0,0,0,,,,,,,3,2
OO8ZKxDxuIc,,,,,,,0,0,0,,,,,,,3,2
1DumhCLEtuU,,,,,,,0,0,0,,,,,,,3,2
aicSKhvY5Gk,,,,,,,0,0,0,,,,,,,3,2
eny0BqmSwmM,,,,,,,0,0,0,,,,,,,3,2
18zV3Yqac8Q,,,,,,,0,0,0,,,,,,,3,2
Ytmcwjf2amw,,,,,,,0,0,0,,,,,,,3,2
jvy9nyjsHzo,,,,,,,0,0,0,,,,,,,3,2
pMOblGlvFuY,,,,,,,0,0,0,,,,,,,3,2
20vxqLWgHZI,,,,,,,0,0,0,,,,,,,3,2
I2XnX0ZtvOQ,,,,,,,0,0,0,,,,,,,3,2
aWzBX2ssMYg,,,,,,,0,0,0,,,,,,,3,2
FjwZhOo_o1w,,,,,,,0,0,0,,,,,,,3,2
Z5NtYq3i-mk,,,,,,,0,0,0,,,,,,,3,2
o7GJzPhvOO0,,,,,,,0,0,0,,,,,,,3,2
MR_qunesZdQ,,,,,,,0,0,0,,,,,,,3,2
VSSl2o968yM,,,,,,,0,0,0,,,,,,,3,2
uJxWWNu8xdM,,,,,,,0,0,0,,,,,,,3,2
